scenario_id,strategy,plan_id,feasible,discounted_cost_mln,total_cost_mln,capex_mln,min_service_total,min_service_critical,shortage_total_t,end_horizon_reserve_days,flexibility_share,failed_constraints
BASE,ZBO 2037 + ISRU 2037 + Earth-New 2035/2035,ZBO2037+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,true,8942.39,10766.24,1790,1,1,0,45,0.234,
BASE,ISRU 2037 + Earth-New 2036/2037,LUNAR_ISRU2037+EARTH_NEW20362037__BASE,true,8961.96,10863.32,1610,1,1,0,45,0.239,
BASE,ISRU 2037 + Earth-New 2035/2035,LUNAR_ISRU2037+EARTH_NEW20352035__BASE,true,8977.95,10835.76,1610,1,1,0,45,0.228,
BASE,ZBO 2036 + Earth-New 2036/2037,ZBO2036+EARTH_NEW20362037__BASE,true,8981.21,11043.82,540,1,1,0,45,0.117,
BASE,ZBO 2036 + ISRU 2036 + Earth-New 2036/2037,ZBO2036+LUNAR_ISRU2036+EARTH_NEW20362037__BASE,true,8983.43,10760.52,1790,1,1,0,45,0.242,
BASE,ISRU 2037 + Earth-New 2035/2036,LUNAR_ISRU2037+EARTH_NEW20352036__BASE,true,8984.36,10863.32,1610,1,1,0,45,0.239,
BASE,ZBO 2037 + Earth-New 2036/2037,ZBO2037+EARTH_NEW20362037__BASE,true,8990.66,11065.7,540,1,1,0,45,0.116,
BASE,Earth-New 2035/2035,EARTH_NEW20352035__BASE,true,8991.4,11048.72,360,1,1,0,45,0.075,
BASE,ZBO 2037 + ISRU 2036 + Earth-New 2036/2037,ZBO2037+LUNAR_ISRU2036+EARTH_NEW20362037__BASE,true,8992.88,10782.41,1790,1,1,0,45,0.241,
BASE,Earth-New 2035/2036,EARTH_NEW20352036__BASE,true,8997.8,11076.27,360,1,1,0,45,0.087,
BASE,ZBO 2036 + ISRU 2036 + Earth-New 2035/2036,ZBO2036+LUNAR_ISRU2036+EARTH_NEW20352036__BASE,true,9005.83,10760.52,1790,1,1,0,45,0.242,
BASE,ZBO 2036 + ISRU 2036 + Earth-New 2035/2035,ZBO2036+LUNAR_ISRU2036+EARTH_NEW20352035__BASE,true,9009.37,10744.35,1790,1,1,0,45,0.235,
BASE,ZBO 2037 + ISRU 2036 + Earth-New 2035/2036,ZBO2037+LUNAR_ISRU2036+EARTH_NEW20352036__BASE,true,9015.27,10782.41,1790,1,1,0,45,0.241,
BASE,ZBO 2037 + ISRU 2036 + Earth-New 2035/2035,ZBO2037+LUNAR_ISRU2036+EARTH_NEW20352035__BASE,true,9018.81,10766.24,1790,1,1,0,45,0.234,
BASE,ISRU 2036 + Earth-New 2036/2037,LUNAR_ISRU2036+EARTH_NEW20362037__BASE,true,9038.39,10863.32,1610,1,1,0,45,0.239,
BASE,ISRU 2036 + Earth-New 2035/2035,LUNAR_ISRU2036+EARTH_NEW20352035__BASE,true,9054.38,10835.76,1610,1,1,0,45,0.228,
BASE,ISRU 2036 + Earth-New 2035/2036,LUNAR_ISRU2036+EARTH_NEW20352036__BASE,true,9060.78,10863.32,1610,1,1,0,45,0.239,
BASE,Earth-New 2036/2037,EARTH_NEW20362037__BASE,true,9084.23,11209.59,360,1,1,0,45,0.141,
BASE,ZBO 2036,ZBO2036__BASE,true,9297,11548.81,180,1,1,0,31.4,0.289,
BASE,ZBO 2037,ZBO2037__BASE,true,9306.45,11570.7,180,1,1,0,31.4,0.288,
BASE,Без инвестиций,NO_INVEST__BASE,true,9353.14,11644.72,0,1,1,0,19.7,0.302,
