profile,weights,strategy,score,excluded_reason,cost_mln,service,capex_mln
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2037 + ISRU 2036 + Earth-New 2035/2036,0.87,,9015,1,1790
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2036 + ISRU 2036 + Earth-New 2035/2035,0.869,,9009,1,1790
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ISRU 2036 + Earth-New 2035/2036,0.868,,9061,1,1610
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2037 + ISRU 2036 + Earth-New 2035/2035,0.867,,9019,1,1790
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ISRU 2036 + Earth-New 2035/2035,0.865,,9054,1,1610
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2036 + Earth-New 2036/2037,0.864,,8981,1,540
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2037 + Earth-New 2036/2037,0.863,,8991,1,540
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,Earth-New 2036/2037,0.862,,9084,1,360
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2036 + Earth-New 2035/2036,0.857,,8907,1,540
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2037 + Earth-New 2035/2036,0.856,,8916,1,540
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,Earth-New 2035/2036,0.856,,8998,1,360
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2036 + Earth-New 2035/2035,0.854,,8910,1,540
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2037 + Earth-New 2035/2035,0.853,,8920,1,540
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,Earth-New 2035/2035,0.852,,8991,1,360
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2036,0.729,,9297,1,180
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2037,0.727,,9306,1,180
